name,price
"Apple iPhone 15 Pro Max (Black Titanium, 1 TB)","₹1,88,900"
"Apple iPhone 15 Pro (Natural Titanium, 1 TB)","₹1,77,990"
"Apple iPhone 15 Plus (Green, 256 GB)","₹91,999"
"Apple iPhone 13 mini (Midnight, 256 GB)","₹74,900"
"Apple iPhone 14 Pro (Space Black, 512 GB)","₹1,49,900"
"Apple iPhone SE (Black, 128 GB)","₹44,900"
"Apple iPhone 15 Plus (Pink, 256 GB)","₹91,999"
"Apple iPhone 11 Pro (Space Grey, 512 GB)","₹1,40,300"
"Apple iPhone 11 Pro (Gold, 512 GB)","₹1,40,300"
"Apple iPhone 13 mini (Midnight, 512 GB)","₹94,900"
"Apple iPhone 13 mini (Pink, 128 GB)","₹64,900"
"Apple iPhone XR (Yellow, 64 GB) (Includes EarPods, Power Adapter)","₹47,900"
"Apple iPhone 13 Pro (Gold, 512 GB)","₹1,49,900"
"Apple iPhone 15 Pro Max (White Titanium, 512 GB)","₹1,68,900"
"Apple iPhone SE (White, 64 GB)","₹39,900"
"Apple iPhone 12 mini (Red, 128 GB)","₹64,900"
"Apple iPhone 15 Plus (Green, 512 GB)","₹1,11,999"
"Apple iPhone 6 Plus (Silver, 128 GB)","₹48,999"
"Apple iPhone SE 3rd Gen (Midnight, 64 GB)","₹49,900"
"Apple iPhone 13 Pro (Alpine Green, 128 GB)","₹1,19,900"
"Apple iPhone 15 Plus (Blue, 512 GB)","₹1,11,999"
"Apple iPhone 12 Pro Max (Silver, 512 GB)","₹1,49,900"
"Apple iPhone 6s (Gold, 64 GB)","₹49,999"
"Apple iPhone 14 (Yellow, 256 GB)","₹68,999"
"Apple iPhone 15 Pro Max (White Titanium, 256 GB)","₹1,48,900"
"Apple iPhone 11 (Green, 64 GB)","₹43,900"
"Apple iPhone 14 Plus ((PRODUCT)RED, 512 GB)","₹91,999"
"Apple iPhone 6s (Silver, 32 GB)","₹29,990"
"Apple iPhone 15 Pro Max (Black Titanium, 256 GB)","₹1,48,900"
"Apple iPhone 15 Pro (Natural Titanium, 256 GB)","₹1,37,990"
"Apple iPhone 15 (Green, 512 GB)","₹1,01,999"
"Apple iPhone 15 (Yellow, 256 GB)","₹81,999"
"Apple iPhone 11 (Black, 64 GB)","₹43,900"
"Apple iPhone 11 (White, 128 GB)","₹48,900"
"Apple iPhone 11 (Black, 128 GB)","₹48,900"
"Apple iPhone 14 Plus (Blue, 512 GB)","₹91,999"
"Apple iPhone 15 Pro (Black Titanium, 1 TB)","₹1,77,990"
"Apple iPhone 13 Pro Max (Silver, 1 TB)","₹1,79,900"
"Apple iPhone 15 Pro (Blue Titanium, 1 TB)","₹1,77,990"
"Apple iPhone 14 (Starlight, 512 GB)","₹88,999"
"Apple iPhone 15 Pro (Black Titanium, 256 GB)","₹1,37,990"
"Apple iPhone 13 (Midnight, 512 GB)","₹80,999"
"Apple iPhone 15 (Black, 512 GB)","₹1,01,999"
"Apple iPhone 14 (Blue, 512 GB)","₹88,999"
"Apple iPhone 15 Pro (Blue Titanium, 128 GB)","₹1,27,990"
"Apple iPhone 12 Pro (Graphite, 128 GB)","₹1,09,900"
"Apple iPhone 13 (Starlight, 512 GB)","₹80,999"
"Apple iPhone 14 Plus (Yellow, 512 GB)","₹91,999"
"Apple iPhone 13 Pro Max (Alpine Green, 1 TB)","₹1,79,900"
"Apple iPhone 14 Plus ((PRODUCT)RED, 512 GB)","₹91,999"
"Apple iPhone 6s Plus (Gold, 32 GB)","₹34,900"
"Apple iPhone 15 (Pink, 512 GB)","₹1,01,999"
"Apple iPhone 13 (Blue, 512 GB)","₹80,999"
"Apple iPhone 13 (Green, 512 GB)","₹80,999"
"Apple iPhone 8 Plus (Gold, 64 GB)","₹49,900"
"Apple iPhone 12 Pro Max (Pacific Blue, 128 GB)","₹1,19,900"
"Apple iPhone 13 ((PRODUCT)RED, 512 GB)","₹80,999"
"Apple iPhone 5s (Space Grey, 16 GB)","₹25,000"
"Apple iPhone 7 Plus (Gold, 128 GB)","₹42,900"
"Apple iPhone XS Max (Space Grey, 64 GB)","₹1,09,900"
"Apple iPhone 13 (Pink, 512 GB)","₹80,999"
"Apple iPhone 5s (Silver, 16 GB)","₹25,000"
"Apple iPhone 12 mini (White, 64 GB)","₹59,900"
"Apple iPhone 6s Plus (Space Grey, 16 GB)","₹72,000"
"Apple iPhone 11 Pro (Silver, 64 GB)","₹1,06,600"
"Apple iPhone 12 Pro (Silver, 128 GB)","₹1,09,900"
"Apple iPhone 15 Plus (Yellow, 512 GB)","₹1,11,999"
"Apple iPhone 6s Plus (Rose Gold, 32 GB)","₹34,900"
"Apple iPhone 15 Plus (Pink, 512 GB)","₹1,11,999"
"Apple iPhone 12 (Red, 64 GB)","₹39,999"
